title,author,journal,search,population,region,time.series,native.species,survey.freq,ecosystem,continent,kingdom,major.group,species.names,common.name,digitized,plot,group,longevity,longevity.unit
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Estrilda melpoda,Orange-cheeked Waxbill,Y,061_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.15.jpg,1,6.811,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Leiothrix lutea,Red-billed Leiothrix,Y,062_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.16.jpg,1,15,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Paroaria coronata,Red-crested Cardinal,Y,063_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.17.jpg,1,9.448,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Pycnonotus cafer,Red-vented Bulbul,Y,064_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.18.jpg,1,13.134,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Pycnonotus jocosus,Red-whiskered Bulbul,Y,065_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.19.jpg,1,11.776,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Amandava amandava,Red Avadavat,Y,066_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.20.jpg,1,7.325,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Sicalis flaveola,Saffron Finch,Y,067_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.21.jpg,1,9.583,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Alauda arvensis,Sky Lark,Y,068_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.22.jpg,1,11.585,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Spilopelia chinensis,Spotted Dove,Y,069_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.23.jpg,1,16.7,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Sturnella neglecta,Western Meadowlark,Y,070_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.24.jpg,1,12.365,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Kittacincla malabarica,White-rumped Shama,Y,071_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.25.jpg,1,6.417,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Tiaris olivaceus,Yellow-faced Grassquit,Y,072_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.26.jpg,1,8.106,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Crithagra mozambica,Yellow-fronted Canary,Y,073_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.27.jpg,1,7.883,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Hawaii,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Geopelia striata,Zebra Dove,Y,074_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.28.jpg,1,18.666,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Los Angeles,Y,N,Yearly,Terrestrial,N. America,Animalia,Aves,Passer domesticus,House Sparrow,Y,075_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.29.jpg,1,19.9,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Los Angeles,Y,N,Yearly,Terrestrial,N. America,Animalia,Aves,Columba livia,Rock Pigeon,Y,076_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.30.jpg,1,21.542,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Los Angeles,Y,N,Yearly,Terrestrial,N. America,Animalia,Aves,Spilopelia chinensis,Spotted Dove,Y,077_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.31.jpg,1,16.7,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Los Angeles,Y,N,Yearly,Terrestrial,N. America,Animalia,Aves,Brotogeris chiriri,Yellow-chevroned Parakeet,Y,078_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.32.jpg,1,28,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Miami,Y,N,Yearly,Terrestrial,N. America,Animalia,Aves,Passer domesticus,House Sparrow,Y,079_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.33.jpg,1,19.9,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Miami,Y,N,Yearly,Terrestrial,N. America,Animalia,Aves,Psittacara mitratus,Mitred Parakeet,Y,080_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.34.jpg,1,22.435,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Miami,Y,N,Yearly,Terrestrial,N. America,Animalia,Aves,Myiopsitta monachus,Monk Parakeet,Y,081_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.35.jpg,1,19.95,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Miami,Y,N,Yearly,Terrestrial,N. America,Animalia,Aves,Psittacara erythrogenys,Red-masked Parakeet,Y,082_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.36.jpg,1,26.2,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Miami,Y,N,Yearly,Terrestrial,N. America,Animalia,Aves,Psittacula krameri,Rose-ringed Parakeet,Y,083_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.37.jpg,1,34,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Miami,Y,N,Yearly,Terrestrial,N. America,Animalia,Aves,Icterus pectoralis,Spot-breasted Oriole,Y,084_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.38.jpg,1,11.6,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Puerto Rico,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Brotogeris versicolurus,White-winged Parakeet,Y,085_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.39.jpg,1,23.65,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Puerto Rico,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Lonchura atricapilla,Chestnut Mannikin,Y,086_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.40.jpg,1,6.902,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Puerto Rico,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Euodice cantans,Indian Silverbill,Y,087_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.41.jpg,1,10,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Puerto Rico,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Lonchura punctulata,Nutmeg Mannikin,Y,088_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.42.jpg,1,10,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Puerto Rico,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Estrilda melpoda,Orange-cheeked Waxbill,Y,089_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.43.jpg,1,6.811,years
Severe and rapid population declines in exotic birds,Aagaard & Lockwood,Biological Invasions,Strayer SI,Y,Puerto Rico,Y,N,Yearly,Terrestrial,Island,Animalia,Aves,Columba livia,Rock Pigeon,Y,090_Aagaard&Lockwood_BiologicalInvasions_2016_SIFigA2.44.jpg,1,21.542,years
Identifying Resilience Mechanisms to Recurrent Ecosystem Perturbations,Angler et al,Oecologia,Strayer SI,Y,Rotehogstjarnen,Y,N,monthly,Freshwater,Europe,Chromista,Rhodophyta,Gonyostomum semen,,Y,106_Angleretal_Oecologia_2010_Fig1.jpg,1,0.010958904,years
Identifying Resilience Mechanisms to Recurrent Ecosystem Perturbations,Angler et al,Oecologia,Strayer SI,Y,Gylslattasjon,Y,N,monthly,Freshwater,Europe,Chromista,Rhodophyta,Gonyostomum semen,,Y,106_Angleretal_Oecologia_2010_Fig1.jpg,2,0.010958904,years
Identifying Resilience Mechanisms to Recurrent Ecosystem Perturbations,Angler et al,Oecologia,Strayer SI,Y,Algsjon,Y,N,monthly,Freshwater,Europe,Chromista,Rhodophyta,Gonyostomum semen,,Y,106_Angleretal_Oecologia_2010_Fig1.jpg,3,0.010958904,years
Synchronous boom-bust cycles in central Australian rodents and marsupials in response to rainfall and fire,"Bennison, K; Godfree, R; Dickman, CR",JOURNAL OF MAMMALOGY,Web of Science,Y,,Y,N,every 2 years,Terrestrial,Oceania,Animalia,Mammalia,Mus musculus,,Y,043_Bennisonetal_JournalofMammology_2018_Fig2C.jpg,1,5,years
Is the comb jelly really to blame for it all? Mnemiopsis leidyi and the ecological concerns about the Caspian Sea,Bilio & Niermann,Marine Ecology Progress Series,Strayer SI,Y,,Y,N,yearly,Marine,Asia,Animalia,Ctenophora,Mnemiopsis leidyi,American Comb Jelly,Y,037_Bilio&Niermann_MarineEcologyProgressSeries_2004_Fig1.jpg,1,1.5,years
"Population Decline of the Invasive Asian Shore Crab (Hemigrapsus sanguineus) and Dynamics of Associated Intertidal Invertebrates on Cape Cod, Massachusetts","Bloch, CP; Curry, KD; Fisher-Reid, MC; Surasinghe, TD",NORTHEASTERN NATURALIST,Web of Science,Y,,Y,N,yearly,Marine,N. America,Animalia,Crustacea,Hemigrapsus sanguineus,Asian shore crab,Y,041_Blochetal_NortheasternNaturalist_2019_Fig1.jpg,1,5,years
Delayed Population Explosion of an introduced butterfly,Boggsetal,Journal of Animal Ecology,Strayer SI,Y,,Y,N,yearly,Terrestrial,N. America,Animalia,Insecta,Euphydryas gillettii,,Y,016_Boggsetal_JournalofAnimalEcology_2006_Fig4A.jpg,1,2,years
Changes in abundance and reproductive activity of small arid-zone murid rodents on an active cattle station in central Australia,"Breed, WG; Leigh, CM; Breed, MF",WILDLIFE RESEARCH,Web of Science,Y,,Y,N,bi-yearly,Terrestrial,Oceania,Animalia,Mammalia,Mus musculus,,Y,107_Breedetal_WildlifeResearch_2016_Fig1.jpg,1,5,years
Changes in abundance and reproductive activity of small arid-zone murid rodents on an active cattle station in central Australia,"Breed, WG; Leigh, CM; Breed, MF",WILDLIFE RESEARCH,Web of Science,Y,,Y,Y,bi-yearly,Terrestrial,Oceania,Animalia,Mammalia,Notomys alexis,,Y,107_Breedetal_WildlifeResearch_2016_Fig1.jpg,2,5.8,years
Changes in abundance and reproductive activity of small arid-zone murid rodents on an active cattle station in central Australia,"Breed, WG; Leigh, CM; Breed, MF",WILDLIFE RESEARCH,Web of Science,Y,,Y,Y,bi-yearly,Terrestrial,Oceania,Animalia,Mammalia,Pseudomys hermannsburgensis,,Y,107_Breedetal_WildlifeResearch_2016_Fig1.jpg,3,7.9,years
Changes in abundance and reproductive activity of small arid-zone murid rodents on an active cattle station in central Australia,"Breed, WG; Leigh, CM; Breed, MF",WILDLIFE RESEARCH,Web of Science,Y,,Y,Y,bi-yearly,Terrestrial,Oceania,Animalia,Mammalia,Psuedomys desertor,,Y,107_Breedetal_WildlifeResearch_2016_Fig1.jpg,4,6.82,years
Community dynamics of intertidal soft-bottom mussel beds over two decades,Buttger et al,Helgoland Marine Research,Strayer SI,Y,,Y,N,yearly,Marine,N. America,Animalia,Bivalvia,Crassostrea gigas,,Y,109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,1,7,years
Community dynamics of intertidal soft-bottom mussel beds over two decades,Buttger et al,Helgoland Marine Research,Strayer SI,Y,,Y,Y,yearly,Marine,N. America,Animalia,Bivalvia,Mytilus edulis,,Y,109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,2,24,years
Community dynamics of intertidal soft-bottom mussel beds over two decades,Buttger et al,Helgoland Marine Research,Strayer SI,Y,,Y,N,yearly,Marine,N. America,Animalia,Bivalvia,Crassostrea gigas,,Y,108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,1,7,years
Community dynamics of intertidal soft-bottom mussel beds over two decades,Buttger et al,Helgoland Marine Research,Strayer SI,Y,,Y,Y,yearly,Marine,N. America,Animalia,Bivalvia,Mytilus edulis,,Y,108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,2,24,years
"Colonization and extinction of land planarians (platyhelminthes, tricladida) in a brazilian atlantic forest regrowth remnant",Carabayoetal,Biological Invasions,Strayer SI,Y,,Y,N,yearly,Terrestrial,S. America,Animalia,Platyhelminthes,Notogynaphallia ernesti,,Table,166_Carbayoetal_BiologicalInvasions_2008_Table1_Notogynaphalliaernesti,1,1.544178082,years
"Colonization and extinction of land planarians (platyhelminthes, tricladida) in a brazilian atlantic forest regrowth remnant",Carabayoetal,Biological Invasions,Strayer SI,Y,,Y,N,yearly,Terrestrial,S. America,Animalia,Platyhelminthes,Geoplana multicolor,,Table,167_Carbayoetal_BiologicalInvasions_2008_Table1_Geoplanamulticolor,1,1.544178082,years
"Colonization and extinction of land planarians (platyhelminthes, tricladida) in a brazilian atlantic forest regrowth remnant",Carabayoetal,Biological Invasions,Strayer SI,Y,,Y,N,yearly,Terrestrial,S. America,Animalia,Platyhelminthes,Geoplaninae 1,,Table,168_Carbayoetal_BiologicalInvasions_2008_Table1_Geoplaninac1,1,1.544178082,years
"Colonization and extinction of land planarians (platyhelminthes, tricladida) in a brazilian atlantic forest regrowth remnant",Carabayoetal,Biological Invasions,Strayer SI,Y,,Y,N,yearly,Terrestrial,S. America,Animalia,Platyhelminthes,Endeavouria septemlineata,,Table,169_Carbayoetal_BiologicalInvasions_2008_Table1_Endeavouriaseptemlineata,1,1.544178082,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Whitewater River Mouth,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Oreochromis mossambicus,,Y,113_Caskeyetal_Hydrobiologia_2007_Fig7-Tilapia.jpg,1,11,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Northeast,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Oreochromis mossambicus,,Y,113_Caskeyetal_Hydrobiologia_2007_Fig7-Tilapia.jpg,2,11,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Southeast,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Oreochromis mossambicus,,Y,113_Caskeyetal_Hydrobiologia_2007_Fig7-Tilapia.jpg,3,11,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Alamo River Mouth,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Oreochromis mossambicus,,Y,113_Caskeyetal_Hydrobiologia_2007_Fig7-Tilapia.jpg,4,11,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,New River Mouth,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Oreochromis mossambicus,,Y,113_Caskeyetal_Hydrobiologia_2007_Fig7-Tilapia.jpg,5,11,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Northwest,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Oreochromis mossambicus,,Y,113_Caskeyetal_Hydrobiologia_2007_Fig7-Tilapia.jpg,6,11,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Mean,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Oreochromis mossambicus,,Y,113_Caskeyetal_Hydrobiologia_2007_Fig7-Tilapia.jpg,7,11,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Whitewater River Mouth,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Bairdiella icistia,,Y,112_Caskeyetal_Hydrobiologia_2007_Fig7-Bairdiella.jpg,1,19.077,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Northeast,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Bairdiella icistia,,Y,112_Caskeyetal_Hydrobiologia_2007_Fig7-Bairdiella.jpg,2,19.077,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Southeast,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Bairdiella icistia,,Y,112_Caskeyetal_Hydrobiologia_2007_Fig7-Bairdiella.jpg,3,19.077,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Alamo River Mouth,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Bairdiella icistia,,Y,112_Caskeyetal_Hydrobiologia_2007_Fig7-Bairdiella.jpg,4,19.077,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,New River Mouth,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Bairdiella icistia,,Y,112_Caskeyetal_Hydrobiologia_2007_Fig7-Bairdiella.jpg,5,19.077,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Northwest,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Bairdiella icistia,,Y,112_Caskeyetal_Hydrobiologia_2007_Fig7-Bairdiella.jpg,6,19.077,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Mean,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Bairdiella icistia,,Y,112_Caskeyetal_Hydrobiologia_2007_Fig7-Bairdiella.jpg,7,19.077,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Whitewater River Mouth,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Cynoscion xanthulus,,Y,111_Caskeyetal_Hydrobiologia_2007_Fig7-Corvina.jpg,1,19.077,years
"Population dynamics, distribution, and growth rate of tilapia (Oreochromis mossambicus) in the Salton Sea, California, with notes on bairdiella (Bairdiella icistia) and orangemouth corvina (Cynoscion xanthulus)","Caskey, LL; Riedel, RR; Costa-Pierce, B; Butler, J; Hurlbert, SH",HYDROBIOLOGIA,Web of Science,Y,Northeast,Y,N,yearly,Freshwater,N. America,Animalia,Actinopterygii,Cynoscion xanthulus,,Y,111_Caskeyetal_Hydrobiologia_2007_Fig7-Corvina.jpg,2,19.077,years
